🕘️更新时间,#genre#
2026-08-02 16:04:33,http://198.204.228.26/live/cctv1hd.m3u8

📺央视频道,#genre#
CCTV-1 综合,http://198.204.228.26/live/cctv1hd.m3u8
CCTV-1 综合,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
CCTV-1 综合,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv1&zy.m3u8
CCTV-1 综合,http://182.135.66.163:1888/rtp/239.94.0.1:5140
CCTV-1 综合,http://221.219.104.6:1193/rtp/239.3.1.129:8008
CCTV-2 财经,http://221.219.104.6:1193/rtp/239.3.1.60:8084
CCTV-2 财经,http://182.135.66.163:18888/rtp/239.94.0.2:5140
CCTV-2 财经,http://183.220.20.17:4321/rtp/239.11.0.108:5140
CCTV-2 财经,http://182.135.66.163:18888/rtp/239.94.2.70:5140
CCTV-2 财经,http://182.135.66.163:1888/rtp/239.94.2.70:5140
CCTV-3 综艺,http://198.204.228.26/live/cctv3hd.m3u8
CCTV-3 综艺,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-3 综艺,http://69.30.245.50/live/cctv3.m3u8
CCTV-3 综艺,http://183.47.2.156:16883/udp/239.77.0.169:5146
CCTV-3 综艺,http://173.208.212.130:8181/1080p/cctv3.m3u8
CCTV-4 中文国际,http://198.204.228.26/live/cctv4hd.m3u8
CCTV-4 中文国际,http://192.151.150.154/live/cctv4hd.m3u8
CCTV-4 中文国际,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-4 中文国际,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV-4 中文国际,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv4&zy.m3u8
CCTV-4K,https://live.264788.xyz/channel/cctv4k?streamid=69b8ad870d6e6b638349a2eb5d3c6e98&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-4K,https://live.264788.xyz/channel/cctv4k?streamid=e391578b03c29555c8769f7b6c4bf02f&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
