央视频道,#genre#
CCTV1综合,http://117.72.194.224:3333/ysp.php?id=CCTV1
CCTV2财经,http://117.72.194.224:3333/ysp.php?id=CCTV2
CCTV3综艺,http://117.72.194.224:3333/ysp.php?id=CCTV3
CCTV4中文国际,http://117.72.194.224:3333/ysp.php?id=CCTV4
CCTV5体育,http://117.72.194.224:3333/ysp.php?id=CCTV5
CCTV5+体育赛事,http://117.72.194.224:3333/ysp.php?id=CCTV5p
CCTV6电影,http://117.72.194.224:3333/ysp.php?id=CCTV6
CCTV7国防军事,http://117.72.194.224:3333/ysp.php?id=CCTV7
CCTV8电视剧,http://117.72.194.224:3333/ysp.php?id=CCTV8
CCTV9纪录,http://117.72.194.224:3333/ysp.php?id=CCTV9
CCTV10科教,http://117.72.194.224:3333/ysp.php?id=CCTV10
CCTV11戏曲,http://117.72.194.224:3333/ysp.php?id=CCTV11
CCTV12社会与法,http://117.72.194.224:3333/ysp.php?id=CCTV12
CCTV13新闻,http://117.72.194.224:3333/ysp.php?id=CCTV13
CCTV14少儿,http://117.72.194.224:3333/ysp.php?id=CCTV14
CCTV15音乐,http://117.72.194.224:3333/ysp.php?id=CCTV15
CCTV16奥林匹克,http://117.72.194.224:3333/ysp.php?id=CCTV16
CCTV17农业农村,http://117.72.194.224:3333/ysp.php?id=CCTV17
法语频道,http://117.72.194.224:3333/ysp.php?id=CGTNFYP
俄语频道,http://117.72.194.224:3333/ysp.php?id=CGTNYYPD
阿拉伯语频道,http://117.72.194.224:3333/ysp.php?id=CGTNALBYYPD
西班牙语频道,http://117.72.194.224:3333/ysp.php?id=CGTNXBYYPD
外语纪录频道,http://117.72.194.224:3333/ysp.php?id=CGTNWYJLPD
第一剧场频道,http://117.72.194.224:3333/ysp.php?id=CCTVDYJCPD
风云剧场频道,http://117.72.194.224:3333/ysp.php?id=CCTVFYJCPD
怀旧剧场频道,http://117.72.194.224:3333/ysp.php?id=CCTVHJJCPD
CCTV1综合,http://154.12.36.187:656/index.php?token=2025&id=cctv1
CCTV2财经,http://154.12.36.187:656/index.php?token=2025&id=cctv2
CCTV3综艺,http://154.12.36.187:656/index.php?token=2025&id=cctv3
CCTV4中文国际,http://154.12.36.187:656/index.php?token=2025&id=cctv4
CCTV5体育,http://154.12.36.187:656/index.php?token=2025&id=cctv5
CCTV5+体育赛事,http://154.12.36.187:656/index.php?token=2025&id=cctv5p
CCTV6电影,http://154.12.36.187:656/index.php?token=2025&id=cctv6
CCTV7国防军事,http://154.12.36.187:656/index.php?token=2025&id=cctv7
CCTV8电视剧,http://154.12.36.187:656/index.php?token=2025&id=cctv8
CCTV9纪录,http://154.12.36.187:656/index.php?token=2025&id=cctv9
CCTV10科教,http://154.12.36.187:656/index.php?token=2025&id=cctv10
CCTV11戏曲,http://154.12.36.187:656/index.php?token=2025&id=cctv11
CCTV12社会与法,http://154.12.36.187:656/index.php?token=2025&id=cctv12
CCTV13新闻,http://154.12.36.187:656/index.php?token=2025&id=cctv13
CCTV14少儿,http://154.12.36.187:656/index.php?token=2025&id=cctv14
CCTV15音乐,http://154.12.36.187:656/index.php?token=2025&id=cctv15
CCTV16奥林匹克,http://154.12.36.187:656/index.php?token=2025&id=cctv16
CCTV17农业农村,http://154.12.36.187:656/index.php?token=2025&id=cctv17
CCTV4欧洲,http://154.12.36.187:656/index.php?token=2025&id=cctv4oz
CCTV4美洲,http://154.12.36.187:656/index.php?token=2025&id=cctv4mz
CGTN外语记录,http://154.12.36.187:656/index.php?token=2025&id=cgtnwyjl
CGTN阿拉伯语,http://154.12.36.187:656/index.php?token=2025&id=cgtnalby
CGTN西班牙语,http://154.12.36.187:656/index.php?token=2025&id=cgtnxbyy
CGTN法语,http://154.12.36.187:656/index.php?token=2025&id=cgtnfy
CGTN俄语,http://154.12.36.187:656/index.php?token=2025&id=cgtney
CGTN,http://154.12.36.187:656/index.php?token=2025&id=cgtn

卫视频道,#genre#
北京卫视,http://117.72.194.224:3333/ysp.php?id=BJWS
东方卫视,http://117.72.194.224:3333/ysp.php?id=DFWS
江苏卫视,http://117.72.194.224:3333/ysp.php?id=JSWS
浙江卫视,http://117.72.194.224:3333/ysp.php?id=ZJWS
湖南卫视,http://117.72.194.224:3333/ysp.php?id=HNWS
湖北卫视,http://117.72.194.224:3333/ysp.php?id=HBWS
广东卫视,http://117.72.194.224:3333/ysp.php?id=GDWS
广西卫视,http://117.72.194.224:3333/ysp.php?id=GXWS
黑龙江卫视,http://117.72.194.224:3333/ysp.php?id=HLJWS
海南卫视,http://117.72.194.224:3333/ysp.php?id=HANWS
重庆卫视,http://117.72.194.224:3333/ysp.php?id=CQWS
中国教育电视台1频道,http://117.72.194.224:3333/ysp.php?id=ZGGYDSJ1PD
深圳卫视,http://117.72.194.224:3333/ysp.php?id=SZWS
四川卫视,http://117.72.194.224:3333/ysp.php?id=SCWS
河南卫视,http://117.72.194.224:3333/ysp.php?id=HNWS2
福建东南卫视,http://117.72.194.224:3333/ysp.php?id=FJDNWS
贵州卫视,http://117.72.194.224:3333/ysp.php?id=GZWS
江西卫视,http://117.72.194.224:3333/ysp.php?id=JXWS
辽宁卫视,http://117.72.194.224:3333/ysp.php?id=LNWS
安徽卫视,http://117.72.194.224:3333/ysp.php?id=AHWS
河北卫视,http://117.72.194.224:3333/ysp.php?id=HBWS2
山东卫视,http://117.72.194.224:3333/ysp.php?id=SDWS
天津卫视,http://117.72.194.224:3333/ysp.php?id=TJWS
陕西卫视,http://117.72.194.224:3333/ysp.php?id=SXWS
内蒙古卫视,http://117.72.194.224:3333/ysp.php?id=NMGWS
甘肃卫视,http://117.72.194.224:3333/ysp.php?id=GSWS
宁夏卫视,http://117.72.194.224:3333/ysp.php?id=NXWS
山西卫视,http://117.72.194.224:3333/ysp.php?id=SHXWS
云南卫视,http://117.72.194.224:3333/ysp.php?id=YNWS
吉林卫视,http://117.72.194.224:3333/ysp.php?id=JLWS
青海卫视,http://117.72.194.224:3333/ysp.php?id=QHWS
西藏卫视,http://117.72.194.224:3333/ysp.php?id=XCWS
新疆卫视,http://117.72.194.224:3333/ysp.php?id=XJWS
兵团卫视,http://117.72.194.224:3333/ysp.php?id=BTWS
国学频道,http://117.72.194.224:3333/ysp.php?id=GXPD
浙江卫视,http://154.12.36.187:656/index.php?token=2025&id=zjws
浙江卫视,http://154.12.36.187:656/index.php?token=2025&id=zjws
北京卫视,http://154.12.36.187:656/index.php?token=2025&id=bjws
东方卫视,http://154.12.36.187:656/index.php?token=2025&id=dfws
江苏卫视,http://154.12.36.187:656/index.php?token=2025&id=jsws
山东卫视,http://154.12.36.187:656/index.php?token=2025&id=sdws
广东卫视,http://154.12.36.187:656/index.php?token=2025&id=gdws
江西卫视,http://154.12.36.187:656/index.php?token=2025&id=jxws
河南卫视,http://154.12.36.187:656/index.php?token=2025&id=henws
大湾区卫视,http://154.12.36.187:656/index.php?token=2025&id=dwqws
湖北卫视,http://154.12.36.187:656/index.php?token=2025&id=hubws
吉林卫视,http://154.12.36.187:656/index.php?token=2025&id=jlws
青海卫视,http://154.12.36.187:656/index.php?token=2025&id=qhws
海南卫视,http://154.12.36.187:656/index.php?token=2025&id=hainws
辽宁卫视,http://154.12.36.187:656/index.php?token=2025&id=lnws
嘉佳卡通,http://154.12.36.187:656/index.php?token=2025&id=jjkt
优漫卡通,http://154.12.36.187:656/index.php?token=2025&id=ymkt
江苏教育,http://154.12.36.187:656/index.php?token=2025&id=jsjy
山东教育,http://154.12.36.187:656/index.php?token=2025&id=sdjy
兵团卫视,http://154.12.36.187:656/index.php?token=2025&id=btws
河北卫视,http://154.12.36.187:656/index.php?token=2025&id=hebws
黑龙江卫视,http://154.12.36.187:656/index.php?token=2025&id=hljws
三沙卫视,http://154.12.36.187:656/index.php?token=2025&id=ssws
延边卫视,http://154.12.36.187:656/index.php?token=2025&id=ybws
云南卫视,http://154.12.36.187:656/index.php?token=2025&id=ynws
西藏卫视,http://154.12.36.187:656/index.php?token=2025&id=xzws
西藏藏语卫视,http://154.12.36.187:656/index.php?token=2025&id=xzzy
康巴卫视,http://154.12.36.187:656/index.php?token=2025&id=kbws
新疆卫视,http://154.12.36.187:656/index.php?token=2025&id=xjws
山西卫视,http://154.12.36.187:656/index.php?token=2025&id=sxws
陕西卫视,http://154.12.36.187:656/index.php?token=2025&id=shanxws
农林卫视,http://154.12.36.187:656/index.php?token=2025&id=nlws
内蒙古卫视,http://154.12.36.187:656/index.php?token=2025&id=nmgws
内蒙古蒙语卫视,http://154.12.36.187:656/index.php?token=2025&id=nmmyws
海峡卫视,http://154.12.36.187:656/index.php?token=2025&id=hxws
甘肃卫视,http://154.12.36.187:656/index.php?token=2025&id=gsws
深圳卫视,http://154.12.36.187:656/index.php?token=2025&id=szws
天津卫视,http://154.12.36.187:656/index.php?token=2025&id=tjws
安徽卫视,http://154.12.36.187:656/index.php?token=2025&id=ahws
广西卫视,http://154.12.36.187:656/index.php?token=2025&id=gxws
四川卫视,http://154.12.36.187:656/index.php?token=2025&id=scws
贵州卫视,http://154.12.36.187:656/index.php?token=2025&id=gzws
宁夏卫视,http://154.12.36.187:656/index.php?token=2025&id=nxws
重庆卫视,http://154.12.36.187:656/index.php?token=2025&id=cqws
东南卫视,http://154.12.36.187:656/index.php?token=2025&id=dnws
青海安多卫视,http://154.12.36.187:656/index.php?token=2025&id=qhadws
湖南卫视,http://154.12.36.187:656/index.php?token=2025&id=hunws
湖南经视,http://154.12.36.187:656/index.php?token=2025&id=hunjs
金鹰卡通,http://154.12.36.187:656/index.php?token=2025&id=jykt
金鹰纪实,http://154.12.36.187:656/index.php?token=2025&id=jyjs
快乐垂钓,http://154.12.36.187:656/index.php?token=2025&id=klcd
先锋乒羽,http://154.12.36.187:656/index.php?token=2025&id=xfpy
湖南都市,http://154.12.36.187:656/index.php?token=2025&id=hunds
湖南电视剧,http://154.12.36.187:656/index.php?token=2025&id=hndsj
湖南公共,http://154.12.36.187:656/index.php?token=2025&id=hungg
湖南国际,http://154.12.36.187:656/index.php?token=2025&id=hungj
湖南娱乐,http://154.12.36.187:656/index.php?token=2025&id=hunyl
湖南快乐购,http://154.12.36.187:656/index.php?token=2025&id=klg
湖南茶频道,http://154.12.36.187:656/index.php?token=2025&id=cpd
湖南电影,http://154.12.36.187:656/index.php?token=2025&id=hndy
长沙新闻,http://154.12.36.187:656/index.php?token=2025&id=csxw
长沙政法,http://154.12.36.187:656/index.php?token=2025&id=cszf
长沙女性,http://154.12.36.187:656/index.php?token=2025&id=csnx
CETV1,http://154.12.36.187:656/index.php?token=2025&id=cetv1
CETV2,http://154.12.36.187:656/index.php?token=2025&id=cetv2
CETV4,http://154.12.36.187:656/index.php?token=2025&id=cetv4
环球旅游,http://154.12.36.187:656/index.php?token=2025&id=hqly
熊猫频道1,http://154.12.36.187:656/index.php?token=2025&id=xm1
熊猫频道2,http://154.12.36.187:656/index.php?token=2025&id=xm2
熊猫频道3,http://154.12.36.187:656/index.php?token=2025&id=xm3
熊猫频道4,http://154.12.36.187:656/index.php?token=2025&id=xm4
熊猫频道5,http://154.12.36.187:656/index.php?token=2025&id=xm5
熊猫频道6,http://154.12.36.187:656/index.php?token=2025&id=xm6
熊猫频道7,http://154.12.36.187:656/index.php?token=2025&id=xm7
熊猫频道8,http://154.12.36.187:656/index.php?token=2025&id=xm8
熊猫频道9,http://154.12.36.187:656/index.php?token=2025&id=xm9
熊猫频道10,http://154.12.36.187:656/index.php?token=2025&id=xm10


电影频道,#genre#

杭州生活,http://154.12.36.187:656/index.php?token=2025&id=hzsh
24小时轮播,http://154.12.36.187:656/index.php?token=2025&id=24hlb
传奇剧场,http://154.12.36.187:656/index.php?token=2025&id=cqjc
热血剧场,http://154.12.36.187:656/index.php?token=2025&id=rxjc
往昔影院,http://154.12.36.187:656/index.php?token=2025&id=wxyy
生活剧场,http://154.12.36.187:656/index.php?token=2025&id=shjc
国产佳作,http://154.12.36.187:656/index.php?token=2025&id=gcjz
岁月男神,http://154.12.36.187:656/index.php?token=2025&id=syns
心动投送,http://154.12.36.187:656/index.php?token=2025&id=xdts
宅家剧场,http://154.12.36.187:656/index.php?token=2025&id=zjjc
怀旧经典,http://154.12.36.187:656/index.php?token=2025&id=hjjd
放映厅,http://154.12.36.187:656/index.php?token=2025&id=fyt
红色经典,http://154.12.36.187:656/index.php?token=2025&id=hsjd
大咖面对面,http://154.12.36.187:656/index.php?token=2025&id=dkmdm
周润发系列,http://154.12.36.187:656/index.php?token=2025&id=zrfxl

重庆新闻,http://154.12.36.187:656/index.php?token=2025&id=cqxw
西藏影视文化,http://154.12.36.187:656/index.php?token=2025&id=xzys
经典动画大集合,http://154.12.36.187:656/index.php?token=2025&id=jddhdjh
经典香港电影,http://154.12.36.187:656/index.php?token=2025&id=jdxgdy
抗战经典影片,http://154.12.36.187:656/index.php?token=2025&id=kzjdyp
新片放映厅,http://154.12.36.187:656/index.php?token=2025&id=xpfyt
CHC影迷电影,http://154.12.36.187:656/index.php?token=2025&id=chcymdy
CHC动作电影,http://154.12.36.187:656/index.php?token=2025&id=chcdzdy
CHC家庭影院,http://154.12.36.187:656/index.php?token=2025&id=chcjtyy
和美乡途轮播台,http://154.12.36.187:656/index.php?token=2025&id=hmxtlbt
南方影视,http://154.12.36.187:656/index.php?token=2025&id=nfys
赛事最经典,http://154.12.36.187:656/index.php?token=2025&id=sszjd
体坛名栏汇,http://154.12.36.187:656/index.php?token=2025&id=ttmlh
四海钓鱼,http://154.12.36.187:656/index.php?token=2025&id=ttmlh
24小时全运会轮播台,http://154.12.36.187:656/index.php?token=2025&id=24hqyhlbt
陕西体育休闲频道,http://154.12.36.187:656/index.php?token=2025&id=sxtyxxpd
24小时城市联赛轮播台,http://154.12.36.187:656/index.php?token=2025&id=24hcslslbt
武术世界,http://154.12.36.187:656/index.php?token=2025&id=wssj
最强综艺趴,http://154.12.36.187:656/index.php?token=2025&id=zqzyp
江苏综艺频道,http://154.12.36.187:656/index.php?token=2025&id=jszypd
上海新闻综合,http://154.12.36.187:656/index.php?token=2025&id=shxwzh
上视东方影视,http://154.12.36.187:656/index.php?token=2025&id=ssdfys
上海第一财经,http://154.12.36.187:656/index.php?token=2025&id=shdycj

斗鱼频道,#genre#

特辑电影院,http://154.12.36.187:656/index.php?token=2025&id=3637778&type=douyu
牛叔说电影,http://154.12.36.187:656/index.php?token=2025&id=2758565&type=douyu
小片片说大片,http://154.12.36.187:656/index.php?token=2025&id=4258555&type=douyu
万合出品,http://154.12.36.187:656/index.php?token=2025&id=9220456&type=douyu
火龙果说电影,http://154.12.36.187:656/index.php?token=2025&id=9559158&type=douyu
科幻Fans布玛,http://154.12.36.187:656/index.php?token=2025&id=3508304&type=douyu
PP看动漫,http://154.12.36.187:656/index.php?token=2025&id=9837291&type=douyu
开心锤锤动漫,http://154.12.36.187:656/index.php?token=2025&id=9018297&type=douyu
OneGuy丶,http://154.12.36.187:656/index.php?token=2025&id=9734098&type=douyu
虫哥说电影,http://154.12.36.187:656/index.php?token=2025&id=8915074&type=douyu
电影迷小雅,http://154.12.36.187:656/index.php?token=2025&id=9639225&type=douyu
发条张的电影最TOP,http://154.12.36.187:656/index.php?token=2025&id=2164691&type=douyu
史君说剧,http://154.12.36.187:656/index.php?token=2025&id=9419771&type=douyu
sweet夏有甜,http://154.12.36.187:656/index.php?token=2025&id=4808115&type=douyu
吸奇侠,http://154.12.36.187:656/index.php?token=2025&id=8986636&type=douyu
晚风吹过灬,http://154.12.36.187:656/index.php?token=2025&id=5800628&type=douyu
芙芙家的洗碗君,http://154.12.36.187:656/index.php?token=2025&id=9446706&type=douyu
牛叔说电影二台,http://154.12.36.187:656/index.php?token=2025&id=10010651&type=douyu
胆子不小的郑吉祥,http://154.12.36.187:656/index.php?token=2025&id=9171887&type=douyu
老烟斗鬼故事,http://154.12.36.187:656/index.php?token=2025&id=2337939&type=douyu
周扒片,http://154.12.36.187:656/index.php?token=2025&id=6434857&type=douyu
小片片说大片二台,http://154.12.36.187:656/index.php?token=2025&id=10011547&type=douyu
星君说电影,http://154.12.36.187:656/index.php?token=2025&id=8014467&type=douyu
3说电影,http://154.12.36.187:656/index.php?token=2025&id=9643264&type=douyu
侃片大师兄,http://154.12.36.187:656/index.php?token=2025&id=9338839&type=douyu
怪兽马提尼电影,http://154.12.36.187:656/index.php?token=2025&id=9075333&type=douyu
堇姑娘,http://154.12.36.187:656/index.php?token=2025&id=297689&type=douyu
九冢嵬,http://154.12.36.187:656/index.php?token=2025&id=9393501&type=douyu
阿苏电影,http://154.12.36.187:656/index.php?token=2025&id=9037784&type=douyu
666以撒皮神,http://154.12.36.187:656/index.php?token=2025&id=10922695&type=douyu
用户49868946,http://154.12.36.187:656/index.php?token=2025&id=11546930&type=douyu
用户3431809680,http://154.12.36.187:656/index.php?token=2025&id=11290462&type=douyu
蔡老板家的长工丶,http://154.12.36.187:656/index.php?token=2025&id=8869614&type=douyu
拳叔二次元,http://154.12.36.187:656/index.php?token=2025&id=9484105&type=douyu
小小天才搞笑视频,http://154.12.36.187:656/index.php?token=2025&id=9419678&type=douyu
宇宙探索飞船,http://154.12.36.187:656/index.php?token=2025&id=9456028&type=douyu
开心嘴炮,http://154.12.36.187:656/index.php?token=2025&id=9026377&type=douyu
劉星星呀,http://154.12.36.187:656/index.php?token=2025&id=7422897&type=douyu
悬疑MOVIE,http://154.12.36.187:656/index.php?token=2025&id=9601429&type=douyu
刘哔电影,http://154.12.36.187:656/index.php?token=2025&id=2632223&type=douyu
历史经典烩,http://154.12.36.187:656/index.php?token=2025&id=9487003&type=douyu
老秦说秦,http://154.12.36.187:656/index.php?token=2025&id=9650131&type=douyu
文西与阿漆,http://154.12.36.187:656/index.php?token=2025&id=8737695&type=douyu
李允儿er的助眠小窝,http://154.12.36.187:656/index.php?token=2025&id=9038894&type=douyu
顾止最爱的小胖宝贝,http://154.12.36.187:656/index.php?token=2025&id=238643&type=douyu
章的亲弟弟,http://154.12.36.187:656/index.php?token=2025&id=9641152&type=douyu
一个机智张张,http://154.12.36.187:656/index.php?token=2025&id=9653063&type=douyu
鬼兄奇谈,http://154.12.36.187:656/index.php?token=2025&id=8722254&type=douyu
中二日记搞笑动画,http://154.12.36.187:656/index.php?token=2025&id=9505575&type=douyu
漫威君,http://154.12.36.187:656/index.php?token=2025&id=1713615&type=douyu
Svip丶YoYo,http://154.12.36.187:656/index.php?token=2025&id=3472959&type=douyu
代娱说美剧,http://154.12.36.187:656/index.php?token=2025&id=9123570&type=douyu
茶啊二中官方,http://154.12.36.187:656/index.php?token=2025&id=2925610&type=douyu
老邪说电影,http://154.12.36.187:656/index.php?token=2025&id=9222870&type=douyu
JustXiaIt嘻咦啊看,http://154.12.36.187:656/index.php?token=2025&id=2660125&type=douyu
小陶气说动漫,http://154.12.36.187:656/index.php?token=2025&id=9527700&type=douyu
小涛讲电影V,http://154.12.36.187:656/index.php?token=2025&id=8415464&type=douyu
培根悖论唠唠嗑,http://154.12.36.187:656/index.php?token=2025&id=5354713&type=douyu
工藤新医heart,http://154.12.36.187:656/index.php?token=2025&id=8741860&type=douyu
小司马说剧,http://154.12.36.187:656/index.php?token=2025&id=9660127&type=douyu
真香动漫解说,http://154.12.36.187:656/index.php?token=2025&id=9391292&type=douyu
骑毛驴的八戒,http://154.12.36.187:656/index.php?token=2025&id=1979257&type=douyu
一目十影,http://154.12.36.187:656/index.php?token=2025&id=3643605&type=douyu
奥雷卡尔克斯,http://154.12.36.187:656/index.php?token=2025&id=1224356&type=douyu
