央  视,#genre#
CCTV1-综合,http://192.151.150.154/live/cctv1hd.m3u8
CCTV1-综合,http://183.214.23.16:2380/tptvho.mobaibox.com/hwcdnbacksourceflag_223.105.252.5/PLTV/4/224/3221227725/index.m3u8
CCTV1-综合,http://183.214.23.27:2380/tptvho.mobaibox.com/hwcdnbacksourceflag_223.105.252.5/PLTV/4/224/3221227725/index.m3u8
CCTV1-综合,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzIyMi44NS4xOTguOTI6ODAwMC9obHMvNDAvaW5kZXgubTN1OA==
CCTV1-综合,https://t.freetv.fun/live/cctv1-2.m3u8
CCTV1-综合,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzIyMi44NS4xOTguOTI6ODAwMC9obHMvMS9pbmRleC5tM3U4
CCTV1-综合,https://test.tvbjack.de5.net/proxy/4c2041de649b8d62
CCTV1-综合,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV1-综合,http://171.15.18.199:8180/TV00000000000000000001@HHZT
CCTV1-综合,http://116.77.33.98:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2-财经,http://192.151.150.154/live/cctv2hd.m3u8
CCTV2-财经,http://sxtylt.sohu.blog:9003/hls/2/index.m3u8
CCTV2-财经,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzIyMi44NS4xOTguOTI6ODAwMC9obHMvMi9pbmRleC5tM3U4
CCTV2-财经,http://202.168.168.50:5000/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://111.120.8.205:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://221.13.234.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,https://tvpull.careryun.com/live/84e2198828007870a4e8f5499964888c.m3u8?txSecret=bc422ceaee44c5500edc67ca9b62ee77&txTime=69284df5
CCTV2-财经,http://12990.goho.co:8088/udp/239.81.0.115:4056
CCTV2-财经,http://171.38.91.144:18181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://171.15.18.199:8180/TV00000000000000000002@HHZT
CCTV2-财经,http://116.77.33.98:44330/tsfile/live/0002_1.m3u8
CCTV2-财经,http://218.86.184.240:8188/rtp/238.255.2.11:5999
CCTV2-财经,http://116.77.33.196:44330/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://192.151.150.154/live/cctv3hd.m3u8
CCTV3-综艺,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzIyMi44NS4xOTguOTI6ODAwMC9obHMvMy9pbmRleC5tM3U4
CCTV3-综艺,http://sxtylt.sohu.blog:9003/hls/3/index.m3u8
CCTV3-综艺,http://111.120.8.205:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://116.77.33.98:44330/tsfile/live/0003_1.m3u8
CCTV3-综艺,http://202.168.168.50:5000/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://221.13.234.83:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://api.kklkwg.itv888.vip:8080/streams/ma4lf2s6hrq/index.m3u8
CCTV3-综艺,http://171.38.91.144:18181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://12990.goho.co:8088/udp/239.81.0.231:4056
CCTV3-综艺,http://218.86.184.240:8188/rtp/238.255.2.133:5999
CCTV3-综艺,http://218.13.170.98:9901/tsfile/live/0003_1.m3u8
CCTV3-综艺,http://171.15.18.199:8180/TV00000000000000000003@HHZT
CCTV4-国际,http://61.178.227.57:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV4-国际,http://27.9.90.175:8003/rtp/225.0.4.176:7980
CCTV4-国际,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV4
