央视频道,#genre#
CCTV-1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-4,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-5+,http://107.150.60.122/live/cctv5p.m3u8
CCTV-6,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-8,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-9,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-10,http://107.150.60.122/live/cctv10hd.m3u8
CCTV-11,http://107.150.60.122/live/cctv11hd.m3u8
CCTV-12,http://107.150.60.122/live/cctv12hd.m3u8
CCTV-13,http://107.150.60.122/live/cctv13hd.m3u8
CCTV-14,http://107.150.60.122/live/cctv14hd.m3u8
CCTV-15,http://107.150.60.122/live/cctv15hd.m3u8
CCTV-16,http://107.150.60.122/live/cctv16hd.m3u8
CCTV-17,http://107.150.60.122/live/cctv17hd.m3u8
CCTV-4K超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K超高清,http://107.150.60.122/live/cctv8k.m3u8
CHC动作电影,http://107.150.60.122/live/chcdz.m3u8
CHC影迷电影,http://107.150.60.122/live/chchd.m3u8
CHC家庭影院,http://107.150.60.122/live/chcjt.m3u8
重温经典,http://107.150.60.122/live/cwjd.m3u8
CCTV-电视指南,http://107.150.60.122/live/dszn.m3u8
CCTV-第一剧场,http://107.150.60.122/live/dyjc.m3u8
CCTV-风云剧场,http://107.150.60.122/live/fyjc.m3u8
CCTV-风云音乐,http://107.150.60.122/live/fyyy.m3u8
CCTV-风云足球,http://107.150.60.122/live/fyzq.m3u8
CCTV-高尔夫网球,http://107.150.60.122/live/gefwq.m3u8
CCTV-兵器科技,http://107.150.60.122/live/gfjs.m3u8
CCTV-女性时尚,http://107.150.60.122/live/nxss.m3u8
CCTV-世界地理,http://107.150.60.122/live/sjdl.m3u8
CCTV-怀旧剧场,http://107.150.60.122/live/hjjc.m3u8
CCTV-央视台球,http://107.150.60.122/live/ystq.m3u8
中央新影-老故事,http://107.150.60.122/live/lgs.m3u8
中央新影-发现之旅,http://107.150.60.122/live/fxzl.m3u8
中国教育3,http://107.150.60.122/live/cetv3.m3u8
卫视频道,#genre#
广东新闻,http://107.150.60.122/live/gdxw.m3u8
广东新闻,http://107.150.60.122/live/gdxwa.m3u8
广东移动,http://107.150.60.122/live/gdyd.m3u8
广东珠江,http://107.150.60.122/live/gdzja.m3u8
广东珠江,http://107.150.60.122/live/gdzj.m3u8
嘉佳卡通,http://107.150.60.122/live/gdjjkt.m3u8
岭南戏曲,http://107.150.60.122/live/gdlnxq.m3u8
广东4K超高清,http://107.150.60.122/live/gdtvs3.m3u8
广东少儿,http://107.150.60.122/live/gdtvs5.m3u8
广东体育,http://107.150.60.122/live/gdty.m3u8
广东民生,http://107.150.60.122/live/gdgg.m3u8
大湾区卫视,http://107.150.60.122/live/nfws.m3u8
安徽卫视HD,http://107.150.60.122/live/ahwshd.m3u8
