🇨🇳央视频道,#genre#
杭州电信
CCTV-1综合,http://183.129.255.66:8480/hls/1/index.m3u8
CCTV-2财经,http://183.129.255.66:8480/hls/2/index.m3u8
CCTV-3综艺,http://183.129.255.66:8480/hls/3/index.m3u8
CCTV-4中文国际,http://183.129.255.66:8480/hls/4/index.m3u8
CCTV-5体育,http://183.129.255.66:8480/hls/5/index.m3u8
CCTV-5+体育赛事,http://183.129.255.66:8480/hls/6/index.m3u8
CCTV-6电影,http://183.129.255.66:8480/hls/7/index.m3u8
CCTV-7国防军事,http://183.129.255.66:8480/hls/8/index.m3u8
CCTV-8电视剧,http://183.129.255.66:8480/hls/9/index.m3u8
CCTV-9纪录,http://183.129.255.66:8480/hls/10/index.m3u8
CCTV-10科教,http://183.129.255.66:8480/hls/11/index.m3u8
CCTV-11戏曲,http://183.129.255.66:8480/hls/12/index.m3u8
CCTV-12社会与法,http://183.129.255.66:8480/hls/13/index.m3u8
CCTV-13新闻,http://183.129.255.66:8480/hls/14/index.m3u8
CCTV-14少儿,http://183.129.255.66:8480/hls/15/index.m3u8
CCTV-15音乐,http://183.129.255.66:8480/hls/16/index.m3u8
CCTV-16奥林匹克,http://183.129.255.66:8480/hls/17/index.m3u8
CCTV-17农业农村,http://183.129.255.66:8480/hls/18/index.m3u8

湖南移动
CCTV-1综合,http://111.8.242.102:9999/tsfile/live/0001_1.m3u8
CCTV-2财经,http://111.8.242.102:9999/tsfile/live/1002_1.m3u8
CCTV-3综艺,http://111.8.242.102:9999/tsfile/live/1003_1.m3u8
CCTV-4中文国际,http://111.8.242.102:9999/tsfile/live/1007_1.m3u8
CCTV-5体育,http://111.8.242.102:9999/tsfile/live/1008_1.m3u8
CCTV-5+体育赛事,http://111.8.242.102:9999/tsfile/live/1052_1.m3u8
CCTV-6电影,http://111.8.242.102:9999/tsfile/live/1024_1.m3u8
CCTV-7国防军事,http://111.8.242.102:9999/tsfile/live/1077_1.m3u8
CCTV-8电视剧,http://111.8.242.102:9999/tsfile/live/1034_1.m3u8
CCTV-9纪录,http://111.8.242.102:9999/tsfile/live/1036_1.m3u8
CCTV-10科教,http://111.8.242.102:9999/tsfile/live/1039_1.m3u8
CCTV-11戏曲,http://111.8.242.102:9999/tsfile/live/1041_1.m3u8
CCTV-12社会与法,http://111.8.242.102:9999/tsfile/live/1043_1.m3u8
CCTV-13新闻,http://111.8.242.102:9999/tsfile/live/1045_1.m3u8
