苏州央视,#genre#
苏州新闻,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州文化,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州电影,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
苏州生活,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8

CCTV1,http://www.frankgb.cn:4022/udp/239.49.8.19:9614
CCTV2,http://www.frankgb.cn:4022/udp/239.49.8.50:9802
CCTV3,http://www.frankgb.cn:4022/udp/239.49.8.74:8000
CCTV4,http://www.frankgb.cn:4022/udp/239.49.8.51:9806
CCTV5,http://www.frankgb.cn:4022/udp/239.49.8.75:8000
CCTV5+,http://www.frankgb.cn:4022/udp/239.49.8.18:9610
CCTV6,http://www.frankgb.cn:4022/udp/239.49.8.76:8000
CCTV7,http://www.frankgb.cn:4022/udp/239.49.0.126:8000
CCTV8,http://www.frankgb.cn:4022/udp/239.49.8.77:8000
CCTV9,http://www.frankgb.cn:4022/udp/239.49.8.53:9814
CCTV10,http://www.frankgb.cn:4022/udp/239.49.8.54:9818
CCTV11,http://www.frankgb.cn:4022/udp/239.49.0.127:8000
CCTV12,http://www.frankgb.cn:4022/udp/239.49.8.55:9822
CCTV13,http://www.frankgb.cn:4022/udp/239.49.8.109:8000
CCTV14,http://www.frankgb.cn:4022/udp/239.49.8.56:9826
CCTV15,http://www.frankgb.cn:4022/udp/239.49.0.128:8000
CCTV16,http://www.frankgb.cn:4022/udp/239.49.8.31:8000
CCTV17,http://www.frankgb.cn:4022/udp/239.49.8.52:9810
CCTV4k,http://www.frankgb.cn:4022/udp/239.49.0.82:8000

CCTV5,http://82.156.243.185:36888/av3a/cctv5n.m3u8
CCTV5+,http://82.156.243.185:36888/av3a/cctv5pn.m3u8
CCTV16,http://82.156.243.185:36888/av3a/cctv16n.m3u8
CCTV4K,http://82.156.243.185:36888/av3a/cctv4kn.m3u8
CCTV8K,http://82.156.243.185:36888/av3a/cctv8kn.m3u8

CCTV1,http://61.178.227.57:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://61.178.227.57:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://61.178.227.57:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://61.178.227.57:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://61.178.227.57:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://61.178.227.57:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://61.178.227.57:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://61.178.227.57:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://61.178.227.57:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://61.178.227.57:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://61.178.227.57:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://61.178.227.57:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://61.178.227.57:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://61.178.227.57:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://61.178.227.57:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://61.178.227.57:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://61.178.227.57:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV1,http://eyfs.vicp.net:8888/rtp/239.76.253.151:9000
CCTV2,http://eyfs.vicp.net:8888/rtp/239.76.253.152:9000
CCTV3,http://eyfs.vicp.net:8888/rtp/239.76.253.153:9000
CCTV3,http://eyfs.vicp.net:8888/rtp/239.76.246.153:1234
CCTV4,http://eyfs.vicp.net:8888/rtp/239.76.245.195:1234
CCTV5,http://eyfs.vicp.net:8888/rtp/239.76.253.155:9000
CCTV5+,http://eyfs.vicp.net:8888/rtp/239.76.246.168:1234
CCTV6,http://eyfs.vicp.net:8888/rtp/239.76.253.156:9000
CCTV7,http://eyfs.vicp.net:8888/rtp/239.76.253.157:9000
CCTV8,http://eyfs.vicp.net:8888/rtp/239.76.253.158:9000
CCTV9,http://eyfs.vicp.net:8888/rtp/239.76.246.159:1234
CCTV10,http://eyfs.vicp.net:8888/rtp/239.76.253.160:9000
CCTV11,http://eyfs.vicp.net:8888/rtp/239.76.245.251:1234
CCTV11,http://eyfs.vicp.net:8888/rtp/239.76.252.251:9000
CCTV12,http://eyfs.vicp.net:8888/rtp/239.76.246.162:1234
CCTV13,http://eyfs.vicp.net:8888/rtp/239.76.253.93:9000
CCTV14,http://eyfs.vicp.net:8888/rtp/239.76.246.164:1234
CCTV15,http://eyfs.vicp.net:8888/rtp/239.76.252.252:9000
CCTV16,http://eyfs.vicp.net:8888/rtp/239.76.253.98:9000
CCTV17,http://eyfs.vicp.net:8888/rtp/239.76.252.238:9000

CCTV2,http://home.wscxy.fun:30100/udp/233.18.204.68:5140
CCTV3,http://home.wscxy.fun:30100/udp/233.18.204.69:5140
CCTV4,http://home.wscxy.fun:30100/udp/233.18.204.70:5140
CCTV5,http://home.wscxy.fun:30100/udp/233.18.204.71:5140
CCTV5+,http://home.wscxy.fun:30100/udp/233.18.204.67:5140
CCTV6,http://home.wscxy.fun:30100/udp/233.18.204.72:5140
CCTV7,http://home.wscxy.fun:30100/udp/233.18.204.73:5140
CCTV8,http://home.wscxy.fun:30100/udp/233.18.204.74:5140
CCTV9,http://home.wscxy.fun:30100/udp/233.18.204.75:5140
CCTV10,http://home.wscxy.fun:30100/udp/233.18.204.76:5140
CCTV11,http://home.wscxy.fun:30100/udp/233.18.204.77:5140
CCTV12,http://home.wscxy.fun:30100/udp/233.18.204.78:5140
CCTV13,http://home.wscxy.fun:30100/udp/233.18.204.79:5140
CCTV14,http://home.wscxy.fun:30100/udp/233.18.204.80:5140
CCTV15,http://home.wscxy.fun:30100/udp/233.18.204.81:5140
CCTV16,http://home.wscxy.fun:30100/udp/233.18.204.82:5140
CCTV17,http://home.wscxy.fun:30100/udp/233.18.204.83:5140
CCTV兵器科技,http://home.wscxy.fun:30100/udp/233.18.204.178:5140
CCTV第一剧场,http://home.wscxy.fun:30100/udp/233.18.204.184:5140
CCTV风云剧场,http://home.wscxy.fun:30100/udp/233.18.204.183:5140
CCTV风云音乐,http://home.wscxy.fun:30100/udp/233.18.204.185:5140
CCTV风云足球,http://home.wscxy.fun:30100/udp/233.18.204.176:5140
CCTV高尔夫网球,http://home.wscxy.fun:30100/udp/233.18.204.181:5140
CCTV怀旧剧场,http://home.wscxy.fun:30100/udp/233.18.204.182:5140
CCTV女性时尚,http://home.wscxy.fun:30100/udp/233.18.204.180:5140
CCTV世界地理,http://home.wscxy.fun:30100/udp/233.18.204.179:5140
CCTV文化精品,http://home.wscxy.fun:30100/udp/233.18.204.186:5140
CCTV央视台球,http://home.wscxy.fun:30100/udp/233.18.204.177:5140

CCTV1,http://111.8.242.102:9999/tsfile/live/0001_1.m3u8
CCTV2,http://111.8.242.102:9999/tsfile/live/1002_1.m3u8
CCTV3,http://111.8.242.102:9999/tsfile/live/1003_1.m3u8
CCTV4,http://111.8.242.102:9999/tsfile/live/1007_1.m3u8
CCTV5,http://111.8.242.102:9999/tsfile/live/1008_1.m3u8
CCTV5+,http://111.8.242.102:9999/tsfile/live/1052_1.m3u8
CCTV6,http://111.8.242.102:9999/tsfile/live/1024_1.m3u8
CCTV7,http://111.8.242.102:9999/tsfile/live/1077_1.m3u8
CCTV8,http://111.8.242.102:9999/tsfile/live/1034_1.m3u8
CCTV9,http://111.8.242.102:9999/tsfile/live/1036_1.m3u8
CCTV10,http://111.8.242.102:9999/tsfile/live/1039_1.m3u8
CCTV11,http://111.8.242.102:9999/tsfile/live/1041_1.m3u8
CCTV12,http://111.8.242.102:9999/tsfile/live/1043_1.m3u8
CCTV13,http://111.8.242.102:9999/tsfile/live/1045_1.m3u8
CCTV14,http://111.8.242.102:9999/tsfile/live/1046_1.m3u8
CCTV15,http://111.8.242.102:9999/tsfile/live/1049_1.m3u8
CCTV17,http://111.8.242.102:9999/tsfile/live/1025_1.m3u8

CCTV1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV4,http://107.150.60.122/live/cctv4hd.m3u8
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV5+,http://107.150.60.122/live/cctv5p.m3u8
CCTV6,http://107.150.60.122/live/cctv6hd.m3u8
CCTV7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV8,http://107.150.60.122/live/cctv8hd.m3u8
CCTV9,http://107.150.60.122/live/cctv9hd.m3u8
CCTV10,http://107.150.60.122/live/cctv10hd.m3u8
CCTV11,http://107.150.60.122/live/cctv11hd.m3u8
CCTV12,http://107.150.60.122/live/cctv12hd.m3u8
CCTV13,http://107.150.60.122/live/cctv13hd.m3u8
CCTV14,http://107.150.60.122/live/cctv14hd.m3u8
CCTV15,http://107.150.60.122/live/cctv15hd.m3u8
CCTV16,http://107.150.60.122/live/cctv16hd.m3u8
CCTV17,http://107.150.60.122/live/cctv17hd.m3u8
CCTV4K,http://107.150.60.122/live/cctv4k.m3u8
