🕘️更新时间,#genre#
2026-08-25 13:42:58,http://123.112.173.60:4022/rtp/239.3.1.129:8008

📺央视频道,#genre#
CCTV-1 综合,http://123.112.173.60:4022/rtp/239.3.1.129:8008
CCTV-1 综合,http://58.35.95.16:20009/rtp/233.18.204.52:5140
CCTV-1 综合,http://14.145.187.131:4022/udp/239.77.1.144:5146
CCTV-1 综合,http://125.121.255.120:9988/udp/233.50.200.130:5140
CCTV-1 综合,http://182.135.66.163:1888/rtp/239.94.0.1:5140
CCTV-2 财经,http://192.151.150.154/live/cctv2hd.m3u8
CCTV-2 财经,http://121.10.7.16:4000/udp/239.77.1.158:5146
CCTV-2 财经,http://175.9.162.246:4022/udp/239.76.253.152:9000
CCTV-2 财经,http://14.145.187.131:4022/udp/239.77.1.158:5146
CCTV-2 财经,http://222.92.94.26:9889/rtp/239.49.8.50:9802
CCTV-3 综艺,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-3 综艺,http://221.219.104.6:1193/rtp/239.3.1.172:8001
CCTV-3 综艺,http://123.112.173.60:4022/rtp/239.3.1.172:8001
CCTV-3 综艺,http://121.10.7.16:4000/udp/239.77.0.169:5146
CCTV-3 综艺,http://183.222.15.202:4321/rtp/239.11.0.101:5140
CCTV-4 中文国际,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-4 中文国际,http://58.35.95.16:20009/rtp/233.18.204.70:5140
CCTV-4 中文国际,http://182.135.66.163:18888/rtp/239.94.0.4:5140
CCTV-4 中文国际,http://121.10.7.16:4000/udp/239.77.1.163:5146
CCTV-4 中文国际,http://183.222.15.202:4321/rtp/239.11.0.109:5140
CCTV-4K,https://live.264788.xyz/channel/cctv4k?streamid=ddf7c8a2b9355fd0327077c06958bd0f&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-4K,https://live.264788.xyz/channel/cctv4k?streamid=dc08cf9ff7243e2392ad3c40024e31b8&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-4K,https://live.264788.xyz/channel/cctv4k?streamid=69b8ad870d6e6b638349a2eb5d3c6e98&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-4K,https://live.264788.xyz/channel/cctv4k?streamid=e391578b03c29555c8769f7b6c4bf02f&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-4K,http://125.94.244.29:2101/1234.php?id=8&s=9
CCTV-5 体育,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-5 体育,http://182.135.66.163:1888/rtp/239.94.2.30:5140
CCTV-5 体育,http://221.219.104.6:1193/rtp/239.3.1.173:8001
CCTV-5 体育,http://114.243.96.117:8888/rtp/239.3.1.173:8001
CCTV-5 体育,http://121.10.7.16:4000/udp/239.77.0.170:5146
CCTV-5+ 体育赛事,http://175.9.162.246:4022/udp/239.76.253.168:9000
CCTV-5+ 体育赛事,http://58.35.95.16:20009/rtp/233.18.204.67:5140
CCTV-5+ 体育赛事,http://114.243.96.117:8888/rtp/239.3.1.130:8004
CCTV-5+ 体育赛事,http://121.10.7.16:4000/udp/239.77.0.87:5146
CCTV-5+ 体育赛事,http://125.121.25.179:9988/udp/233.50.201.220:5140
CCTV-6 电影,http://125.121.255.120:9988/udp/233.50.201.198:5140
CCTV-6 电影,http://125.121.25.179:9988/udp/233.50.201.198:5140
CCTV-6 电影,http://114.243.96.117:8888/rtp/239.3.1.174:8001
CCTV-6 电影,http://123.112.173.60:4022/rtp/239.3.1.174:8001
CCTV-6 电影,http://182.135.66.163:18888/rtp/239.94.0.34:5140
CCTV-7 国防军事,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-7 国防军事,http://182.135.66.163:18888/rtp/239.94.0.7:5140
CCTV-7 国防军事,http://182.135.66.163:1888/rtp/239.94.0.7:5140
CCTV-7 国防军事,http://121.10.7.16:4000/udp/239.77.0.138:5146
CCTV-7 国防军事,http://114.243.96.117:8888/rtp/239.3.1.61:8104
CCTV-8 电视剧,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-8 电视剧,http://114.243.96.117:8888/rtp/239.3.1.175:8001
CCTV-8 电视剧,http://183.222.15.202:4321/rtp/239.11.0.103:5140
CCTV-8 电视剧,http://121.10.7.16:4000/udp/239.77.0.172:5146
CCTV-8 电视剧,http://14.145.187.131:4022/udp/239.77.0.172:5146
CCTV-8K,http://107.150.52.50:82/live/cctv8k.m3u8
CCTV-8K,http://107.150.60.122/live/cctv8k.m3u8
CCTV-8K,http://47.242.63.189:2203/1234.php?id=9&s=9
CCTV-8K,http://125.94.244.29:2101/1234.php?id=9&s=9
CCTV-8K,http://3501776.xyz:35455/gaoma/cctv8k_36m.m3u8
